Ders Adı,Sınıf,Kazanım Kodu,Ünite/Konu/Kazanım/Alt Kazanım
Türkçe,1,1.1,DİNLEME/İZLEME
Türkçe,1,1.1.1,Dinleme/İzleme
Türkçe,1,1.1.1.1,Doğal ve yapay ses kaynaklarından çıkan sesleri ayırt eder.
Türkçe,1,1.1.1.2,Duyduğu sesleri taklit eder.
Türkçe,1,1.1.1.3,Seslere karşılık gelen harfleri ayırt eder.
Türkçe,1,1.1.1.4,Görselden/görsellerden hareketle dinleyeceği/izleyeceği metin hakkında tahminde bulunur.
Türkçe,1,1.1.1.5,Dinlediklerinde/izlediklerinde geçen olayların gelişimi hakkında tahminde bulunur.
Türkçe,1,1.1.1.6,Dinlediği/izlediği metni anlatır.
Türkçe,1,1.1.1.7,Dinlediklerinin/izlediklerinin konusunu belirler.
Türkçe,1,1.1.1.8,Dinlediklerine/izlediklerine yönelik sorulara cevap verir.
Türkçe,1,1.1.1.9,Sözlü yönergeleri uygular.
Türkçe,1,1.1.1.10,Dinleme stratejilerini uygular.
Türkçe,1,1.1.1.11,Konuşmacının sözlü olmayan mesajlarını kavrar.
Türkçe,1,1.2,KONUŞMA
Türkçe,1,1.2.1,Konuşma
Türkçe,1,1.2.1.1,Kelimeleri anlamlarına uygun kullanır.
Türkçe,1,1.2.1.2,Hazırlıksız konuşmalar yapar.
Türkçe,1,1.2.1.3,Çerçevesi belirli bir konu hakkında konuşur. 
Türkçe,1,1.2.1.4,Konuşma stratejilerini uygular.
Türkçe,1,1.3,OKUMA
Türkçe,1,1.3.1,Okumaya Hazırlık
Türkçe,1,1.3.1.1,Okuma materyalindeki temel bölümleri tanır.
Türkçe,1,1.3.1.2,Harfi tanır ve seslendirir.
Türkçe,1,1.3.1.3,Hece ve kelimeleri okur.
Türkçe,1,1.3.1.4,Basit ve kısa cümleleri okur.
Türkçe,1,1.3.1.5,Kısa metinleri okur.
Türkçe,1,1.3.2,Akıcı Okuma
Türkçe,1,1.3.2.1,Noktalama işaretlerine dikkat ederek okur.
Türkçe,1,1.3.2.2,"Vurgu, tonlama ve telaffuza dikkat ederek okur."
Türkçe,1,1.3.2.3,Şiir okur.
Türkçe,1,1.3.2.4,Görsellerden hareketle kelimeleri ve anlamlarını tahmin eder.
Türkçe,1,1.3.2.5,Farklı yazı karakterleri ile yazılmış yazıları okur.
Türkçe,1,1.3.2.6,Kelimelerin zıt anlamlılarını tahmin eder.
Türkçe,1,1.3.2.7,Okuma stratejilerini uygular.
Türkçe,1,1.3.3,Anlama
Türkçe,1,1.3.3.1,Görsellerle ilgili soruları cevaplar.
Türkçe,1,1.3.3.2,Görsellerden hareketle okuyacağı metnin konusunu tahmin eder.
Türkçe,1,1.3.3.3,Metinle ilgili soruları cevaplar.
Türkçe,1,1.3.3.4,Okuduklarını ana hatlarıyla anlatır.
Türkçe,1,1.3.3.5,Metnin konusunu belirler.
Türkçe,1,1.3.3.6,Metnin içeriğine uygun başlık/başlıklar belirler.
Türkçe,1,1.3.3.7,"Şekil, sembol ve işaretlerin anlamlarını kavrar."
Türkçe,1,1.4,YAZMA
Türkçe,1,1.4.1,Yazma
Türkçe,1,1.4.1.1,Boyama ve çizgi çalışmaları yapar.
Türkçe,1,1.4.1.2,Harfleri tekniğine uygun yazar.
Türkçe,1,1.4.1.3,Hece ve kelimeler yazar.
Türkçe,1,1.4.1.4,Rakamları tekniğine uygun yazar.
Türkçe,1,1.4.1.5,Anlamlı ve kurallı cümleler yazar.
Türkçe,1,1.4.1.6,Görsellerle ilgili kelime ve cümleler yazar.
Türkçe,1,1.4.1.7,"Harfler, kelimeler ve cümleler arasında uygun boşluklar bırakır."
Türkçe,1,1.4.1.8,Büyük harfleri ve noktalama işaretlerini uygun yerlerde kullanır.
Türkçe,1,1.4.1.9,Yazılarını görsel unsurlarla destekler.
Türkçe,1,1.4.1.10,Yazdıklarını gözden geçirir.
Türkçe,1,1.4.1.11,Yazdıklarını paylaşır.
Türkçe,1,1.4.1.12,Yazma çalışmaları yapar.
Türkçe,1,1.4.1.13,Yazma stratejilerini uygular.
Türkçe,2,2.1,DİNLEME/İZLEME
Türkçe,2,2.1.1,Dinleme/İzleme
Türkçe,2,2.1.1.1,Görselden/görsellerden hareketle dinleyeceği/izleyeceği metnin konusunu tahmin eder.
Türkçe,2,2.1.1.2,Dinlediklerinde/izlediklerinde geçen olayların gelişimi ve sonucu hakkında tahminde bulunur.
Türkçe,2,2.1.1.3,Dinlediği/izlediği metni anlatır.
Türkçe,2,2.1.1.3.1,Olayların oluş sırasına göre anlatılması sağlanır.
Türkçe,2,2.1.1.4,Dinlediklerinin/izlediklerinin konusunu belirler.
Türkçe,2,2.1.1.5,Dinlediklerine/izlediklerine yönelik sorulara cevap verir.
Türkçe,2,2.1.1.5.1,"Olay, şahıs, varlık kadrosu ve mekâna yönelik sorular (ne, kim, nerede) yöneltilir."
Türkçe,2,2.1.1.6,Dinlediklerine/izlediklerine farklı başlıklar önerir.
Türkçe,2,2.1.1.7,Sözlü yönergeleri uygular.
Türkçe,2,2.1.1.8,Dinleme stratejilerini uygular.
Türkçe,2,2.1.1.8.1,"Nezaket kurallarına (söz kesmeden dinleme, söz alma, dinleyiciyi izleme ve göz teması kurma) uygun dinlemenin önemi hatırlatılır."
Türkçe,2,2.1.1.8.2,"Öğrenciler, dikkatlerini dinlediklerine/izlediklerine yoğunlaştırmaları için teşvik edilir."
Türkçe,2,2.1.1.9,Konuşmacının sözlü olmayan mesajlarını kavrar.
Türkçe,2,2.2,KONUŞMA
Türkçe,2,2.2.1,Konuşma
Türkçe,2,2.2.1.1,Kelimeleri anlamlarına uygun kullanır.
Türkçe,2,2.2.1.2,Hazırlıksız konuşmalar yapar.
Türkçe,2,2.2.1.3,Çerçevesi belirli bir konu hakkında konuşur. 
Türkçe,2,2.2.1.3.1,"Öğrencilerin tanıdıkları kişiler, bildikleri yerler ve yaşadıkları olaylar hakkında konuşmalar yapmaları sağlanır."
Türkçe,2,2.2.1.4,Konuşma stratejilerini uygular.
Türkçe,2,2.2.1.4.1,Beden dili hakkında kısa bilgi verilir. Öğrenciler konuşmalarında beden dilini etkili kullanmaları için teşvik edilir.
Türkçe,2,2.2.1.4.2,"Konuşmalarda nezaket kurallarına uymanın (yerinde hitap ifadeleri kullanma, göz teması kurma, işitilebilir ses tonuyla, konu dışına çıkmadan, kelimeleri doğru telaffuz ederek konuşma) önemi hatırlatılır."
Türkçe,2,2.2.1.4.3,Akranlarla ve yetişkinlerle iletişimde dikkat edilecek hususlar belirtilir.
Türkçe,2,2.3,OKUMA
Türkçe,2,2.3.1,Akıcı Okuma
Türkçe,2,2.3.1.1,Okuma materyallerindeki temel bölümleri tanır.
Türkçe,2,2.3.1.1.1,Okuma materyallerindeki içindekiler ve sözlük bölümleri tanıtılarak işlevlerine değinilir.
Türkçe,2,2.3.1.2,Noktalama işaretlerine dikkat ederek okur.
Türkçe,2,2.3.1.3,"Vurgu, tonlama ve telaffuza dikkat ederek okur."
Türkçe,2,2.3.1.4,Şiir okur.
Türkçe,2,2.3.1.4.1,Öğrencilere kısa şiir ve İstiklâl Marşı   nın ilk iki kıtasını okuma ve ezberleme ezberleme çalışmaları zorlamamak kaydıyla yaptırılır.
Türkçe,2,2.3.1.5,Farklı yazı karakterleri ile yazılmış yazıları okur.
Türkçe,2,2.3.1.6,Okuma stratejilerini uygular.
Türkçe,2,2.3.1.6.1,Öğrencilerin sesli ve sessiz okuma yapmaları sağlanır.
Türkçe,2,2.3.2,Söz Varlığı
Türkçe,2,2.3.2.1,Görselden/görsellerden hareketle bilmediği kelimeleri ve anlamlarını tahmin eder.
Türkçe,2,2.3.2.1.1,"Resimli sözlük, sözlük, kelime haritası, kelime kartları ve benzer araçlardan yararlanılır."
Türkçe,2,2.3.2.1.2,Öğrencilerin yeni öğrendikleri kelime ve kelime gruplarından sözlük oluşturmaları sağlanır.
Türkçe,2,2.3.2.2,Kelimelerin zıt anlamlılarını tahmin eder.
Türkçe,2,2.3.2.3,Kelimelerin eş anlamlılarını tahmin eder.
Türkçe,2,2.3.3,Anlama
Türkçe,2,2.3.3.1,Görsellerle ilgili soruları cevaplar.
Türkçe,2,2.3.3.2,Görsellerden hareketle okuyacağı metnin konusunu tahmin eder.
Türkçe,2,2.3.3.3,Okuduklarını ana hatlarıyla anlatır.
Türkçe,2,2.3.3.3.1,Olayların oluş sırasına göre anlatılmasına dikkat edilir.
Türkçe,2,2.3.3.4,Okuduğu metnin konusunu belirler.
Türkçe,2,2.3.3.5,Okuduğu metinle ilgili soruları cevaplar.
Türkçe,2,2.3.3.6,Okuduğu metnin içeriğine uygun başlık/başlıklar belirler.
Türkçe,2,2.3.3.7,Metin türlerini tanır.
Türkçe,2,2.3.3.7.1,Örneklerle desteklenerek düzyazı ve şiir hakkında kısa bilgi verilir.
Türkçe,2,2.3.3.8,Okuduğu metindeki hikâye unsurlarını belirler.
Türkçe,2,2.3.3.9,Yazılı yönergeleri kavrar.
Türkçe,2,2.3.3.9.1,Görsellerle desteklenerek kısa ve basit yemek tarifleri ile çocuk oyunları yönergelerinden faydalanılır.
Türkçe,2,2.3.3.10,"Şekil, sembol ve işaretlerin anlamlarını kavrar."
